Team,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020
Day,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Atlanta Hawks,,@TOR,,SAC,CLE,,@HOU,,OKL,,@LAL,,@LAC,,@SAC,,@GSW,,@DEN,,@PHX,,@SAS,@NOP,,GSW,,NOP,MEM,,CHI,,@CHA,,@TOR,,MIL,,,IND,,ORL,@NYK,,MIA,,MIL,@DET,,@PHI,,@PHI,CHI,,POR,,PHX,@IND,,,,WAS,,WAS,ORL,,,HOU
Boston Celtics,,@BRO,,,@HOU,,UTA,@CLE,,SAC,,ORL,@MEM,,@MIL,,@MIL,@OKL,,NOP,,DAL,,HOU,,CHA,,PHI,NYK,,MIN,,@DEN,,@POR,,@LAL,,GSW,,CHI,,,PHX,@BRO,,@CHA,,OKL,CHA,,SAS,,POR,,,@ORL,,@CHI,,MIA,,MIA,@CLE,,@MIN,,@NYK
Brooklyn Nets,,BOS,,DET,,NYK,,@IND,,@ORL,,WAS,,@POR,@UTA,,@DET,,,MIN,,HOU,CHA,,,@CHI,NYK,,NOP,,,LAL,,@MIN,,@PHI,,CHA,,@MIA,,@NOP,@TOR,,BOS,,PHX,,@TOR,,@IND,POR,,@MIL,,@MIL,,@DAL,,@DEN,,,@CHI,SAS,,CHI,,CLE
Charlotte Hornets,,DET,,TOR,,SAC,,@DEN,@LAL,,@LAC,,@SAS,,@HOU,,MIA,,PHX,,@WAS,,@BRO,@IND,,@BOS,,,@OKL,,@MIL,,ATL,,LAL,CLE,,@BRO,,POR,,@NYK,,@CHI,CLE,,BOS,,MIL,@BOS,,,DET,MIA,,@DET,,CHI,ORL,,NOP,,DEN,,LAC,@NYK,,@WAS
Chicago Bulls,,PHI,MIA,,TOR,,OKL,SAS,,@DEN,,@DET,UTA,,CLE,,,@SAS,,@GSW,,@PHX,,@UTA,,BRO,,@IND,,,@ATL,,@MIN,@MEM,,ORL,,MEM,CLE,,@BOS,,@CLE,CHA,,@MIA,,@MIA,,@NYK,,MIL,@ATL,,PHI,,,@CHA,BOS,,@DET,,BRO,,TOR,@BRO,,MIL
Cleveland Cavaliers,,,@NOP,,@ATL,,@MIA,BOS,,SAS,,TOR,SAC,,@CHI,,@LAL,@SAC,,@UTA,,,PHI,,@MIA,,@SAS,,,@OKL,TOR,,NOP,,,@CHA,GSW,,@CHI,,@DET,,CHI,,@CHA,,@WAS,@TOR,,ORL,,WAS,MIA,,,PHX,POR,,@DAL,,DAL,IND,,BOS,,@WAS,,@BRO
Dallas Mavericks,SAS,@OKL,,@DEN,,LAC,,LAC,,@POR,,@POR,,,@MIN,,IND,@NOP,,@OKL,,@BOS,,@NYK,@WAS,,UTA,,@HOU,MIL,,,SAS,PHI,,@MEM,,NYK,,SAC,,,DET,LAL,,LAL,,@SAC,@GSW,,@DET,,WAS,SAC,,@MIA,,BRO,CLE,,@CLE,,@MEM,NOP,,TOR,,@MIN
Denver Nuggets,,,@MEM,DAL,,IND,,CHA,,CHI,,NOP,,@ORL,@TOR,,@NOP,,ATL,,PHI,,@LAC,,,ORL,,DET,SAS,,SAS,,BOS,@GSW,,MIA,,@HOU,,,MEM,,@POR,,@GSW,HOU,,MEM,,NOP,TOR,,@LAC,,@LAL,,NYK,,@UTA,BRO,,,@CHA,,@MIN,@DET,,@POR
Detroit Pistons,,@CHA,,@BRO,,SAS,,TOR,,@HOU,,CHI,,,@IND,,BRO,@WAS,,TOR,,POR,WAS,,NYK,,@OKL,@DEN,,@SAC,,@POR,@LAC,,,LAC,,OKL,@WAS,,CLE,,@DAL,@SAS,,@IND,,ATL,,,DAL,,@CHA,,ORL,CHA,,MEM,,@PHI,CHI,,MIN,,,DEN,,MIA
